2021/01/17 01:40:51 [notice] 9340#1696: signal process started
2021/01/17 12:51:16 [error] 15076#11020: *77 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:51:16 [error] 15076#11020: *78 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:51:17 [error] 15076#11020: *79 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:51:17 [error] 15076#11020: *80 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:51:17 [error] 15076#11020: *81 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:51:18 [error] 15076#11020: *82 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:51:18 [error] 15076#11020: *83 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:51:18 [error] 15076#11020: *84 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:51:19 [error] 15076#11020: *85 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:51:19 [error] 15076#11020: *86 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:51:19 [error] 15076#11020: *87 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:51:20 [error] 15076#11020: *88 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
